sample_name,date,doc_mg_l,tdn_mg_l,npoc_flag,tdn_flag,Event,Plot,Grid,Timepoint
TMP_SW_C3_20230417,20230512,53.19,1.59,NA,NA,TMP,SW,C3,20230417
TMP_SW_H6_20230417,20230512,36.41,1.08,NA,NA,TMP,SW,H6,20230417
TMP_SW_POOL_20230417,20230512,45.66,1.48,pooled sample,pooled sample,TMP,SW,POOL,20230417
TMP_C_I5_20230515,20230531,15.39,0.48,NA,NA,TMP,C,I5,20230515
TMP_C_F6_20230515,20230531,15.58,0.41,NA,NA,TMP,C,F6,20230515
TMP_C_E3_20230515,20230531,9.92,0.48,NA,NA,TMP,C,E3,20230515
TMP_C_C6_20230515,20230531,9.93,0.32,NA,NA,TMP,C,C6,20230515
TMP_C_H6_20230515,20230531,14.55,0.5,NA,NA,TMP,C,H6,20230515
TMP_C_POOL_20230515,20230531,21.09,0.72,pooled sample,pooled sample,TMP,C,POOL,20230515
TMP_FW_B4_20230515,20230531,7.94,0.27,NA,NA,TMP,FW,B4,20230515
TMP_FW_C6_20230515,20230531,7.45,0.34,NA,NA,TMP,FW,C6,20230515
TMP_FW_D5_20230515,20230531,11.23,0.35,NA,NA,TMP,FW,D5,20230515
TMP_FW_I5_20230515,20230531,11.96,0.42,NA,NA,TMP,FW,I5,20230515
TMP_FW_E3_20230515,20230531,6.88,0.26,NA,NA,TMP,FW,E3,20230515
TMP_FW_H6_20230515,20230531,12.36,0.52,NA,NA,TMP,FW,H6,20230515
TMP_FW_C3_20230515,20230531,7.51,0.29,NA,NA,TMP,FW,C3,20230515
TMP_FW_H3_20230515,20230531,9.76,0.68,NA,NA,TMP,FW,H3,20230515
TMP_FW_F6_20230515,20230531,14.77,0.37,NA,NA,TMP,FW,F6,20230515
TMP_FW_POOL_20230515,20230531,10.83,0.44,pooled sample,pooled sample,TMP,FW,POOL,20230515
TMP_SW_F6_20230515,20230531,50.96,1.67,NA,NA,TMP,SW,F6,20230515
TMP_SW_H3_20230515,20230531,24.18,0.84,NA,NA,TMP,SW,H3,20230515
TMP_SW_B4_20230515,20230531,50.34,2.75,NA,NA,TMP,SW,B4,20230515
TMP_SW_C3_20230515,20230531,53.12,1.41,NA,NA,TMP,SW,C3,20230515
TMP_SW_H6_20230515,20230531,27.36,0.67,NA,NA,TMP,SW,H6,20230515
TMP_SW_POOL_20230515,20230531,45.91,1.5,pooled sample,pooled sample,TMP,SW,POOL,20230515
TMP_C_I5_20230603,20230608,20.45,0.44,NA,NA,TMP,C,I5,20230603
TMP_C_H6_20230603,20230608,24.67,0.53,NA,NA,TMP,C,H6,20230603
TMP_C_C6_20230603,20230608,21.48,0.32,NA,NA,TMP,C,C6,20230603
TMP_FW_D5_20230603,20230608,10.05,0.36,NA,NA,TMP,FW,D5,20230603
TMP_FW_I5_20230603,20230608,11.05,0.4,NA,NA,TMP,FW,I5,20230603
TMP_FW_D5_20230605,20230608,5.19,0.2,NA,high blank,TMP,FW,D5,20230605
TMP_SW_B4_20230603,20230608,67.48,1.45,NA,NA,TMP,SW,B4,20230603
TMP_FW_SOURCE_20230606_1326,20220622,0.35,0.09,high blank,high blank,TMP,FW,SOURCE,20230606
TMP_FW_SOURCE_20230606_1511,20220622,0.35,0.1,high blank,high blank,TMP,FW,SOURCE,20230606
TMP_FW_B4_20230606,20230609,5.93,0.67,NA,NA,TMP,FW,B4,20230606
TMP_FW_H3_20230606,20230609,4.16,0.19,NA,high blank,TMP,FW,H3,20230606
TMP_FW_I5_20230606,20230609,4.44,0.24,NA,high blank,TMP,FW,I5,20230606
TMP_FW_C3_20230606_A,20230609,4.07,0.24,NA,high blank,TMP,FW,C3,20230606
TMP_FW_F4_20230606,20230609,5.71,0.28,NA,high blank,TMP,FW,F4,20230606
TMP_FW_D5_20230606,20230609,5.95,0.25,NA,high blank,TMP,FW,D5,20230606
TMP_FW_C3_20230606_B,20230609,4,0.21,NA,high blank,TMP,FW,C3,20230606
TMP_FW_F4_20230606_0800,20230609,7.44,0.3,NA,high blank,TMP,FW,F4,20230606
TMP_FW_SOURCE_20230606_0718,20220622,0.48,0.15,high blank,high blank,TMP,FW,SOURCE,20230606
TMP_FW_SOURCE_20230607_0611,20220622,0.41,0.09,high blank,high blank,TMP,FW,SOURCE,20230607
TMP_FW_C3_20230607_0800,20230609,6.18,0.31,NA,high blank,TMP,FW,C3,20230607
TMP_FW_I5_20230607_0800,20230609,7.46,0.46,NA,NA,TMP,FW,I5,20230607
TMP_FW_H3_20230607_0800,20230609,4.69,0.23,NA,high blank,TMP,FW,H3,20230607
TMP_FW_SOURCE_20230607_1300,20220622,0.36,0.09,high blank,high blank,TMP,FW,SOURCE,20230607
TMP_FW_H6_20230607_0800,20230609,8.28,0.41,NA,NA,TMP,FW,H6,20230607
TMP_FW_D5_20230607_0800,20230609,7.08,0.24,NA,high blank,TMP,FW,D5,20230607
TMP_FW_D5_20230607_1600,20230609,5.98,0.24,NA,high blank,TMP,FW,D5,20230607
TMP_FW_H6_20230607_1600,20230609,8.16,0.54,NA,NA,TMP,FW,H6,20230607
TMP_FW_SOURCE_20230607_1519,20220622,0.29,0.06,high blank,high blank,TMP,FW,SOURCE,20230607
TMP_FW_H3_20230607_1600,20230609,4.17,0.21,NA,high blank,TMP,FW,H3,20230607
TMP_FW_I5_20230607_1600,20230609,4.08,0.18,NA,high blank,TMP,FW,I5,20230607
TMP_FW_F4_20230607_1600,20230609,4.65,0.2,NA,high blank,TMP,FW,F4,20230607
TMP_FW_C3_20230607_1600,20230609,4.51,0.19,NA,high blank,TMP,FW,C3,20230607
TMP_FW_B4_20230607_1600,20230609,4.75,0.26,NA,high blank,TMP,FW,B4,20230607
TMP_SW_D5_20230606,20230609,4.14,0.29,NA,high blank,TMP,SW,D5,20230606
TMP_SW_E3_20230606,20230609,3.77,0.28,NA,high blank,TMP,SW,E3,20230606
TMP_SW_C3_20230606,20230609,8.3,0.4,NA,NA,TMP,SW,C3,20230606
TMP_SW_SOURCE_20230607_0621,20220622,5.2,0.44,NA,NA,TMP,SW,SOURCE,20230607
TMP_SW_ESTUARY_20230606_0632,20230609,4.57,0.37,NA,NA,TMP,SW,NA,20230606
TMP_SW_SOURCE_20230606_0709,20220622,2.37,0.26,NA,high blank,TMP,SW,SOURCE,20230606
TMP_SW_SOURCE_20230606_1301,20220622,4.84,0.36,NA,NA,TMP,SW,SOURCE,20230606
TMP_SW_SOURCE_20230606_1502,20220622,5.03,0.37,NA,NA,TMP,SW,SOURCE,20230606
TMP_SW_C3_20230607_0800,20230609,6.15,0.37,NA,NA,TMP,SW,C3,20230607
TMP_SW_B4_20230607_0800,20230609,4.18,0.29,NA,high blank,TMP,SW,B4,20230607
TMP_SW_D5_20230607_0800,20230609,3.87,0.28,NA,high blank,TMP,SW,D5,20230607
TMP_SW_ESTUARY_20230606_1236,20230609,5.06,0.44,NA,NA,TMP,SW,NA,20230606
TMP_SW_SOURCE_20230607_1255,20220622,6.03,0.37,NA,NA,TMP,SW,SOURCE,20230607
TMP_SW_ESTUARY_20230607_0710,20230609,4.18,0.31,NA,high blank,TMP,SW,NA,20230607
TMP_SW_ESTUARY_20230607_1346,20230609,4.73,0.35,NA,NA,TMP,SW,NA,20230607
TMP_SW_E3_20230607_0800,20230609,3.82,0.29,NA,high blank,TMP,SW,E3,20230607
TMP_SW_SOURCE_20230607_1515,20220622,4.85,0.41,NA,NA,TMP,SW,SOURCE,20230607
TMP_SW_ESTUARY_20230606_1524,20230609,5.07,0.37,NA,NA,TMP,SW,NA,20230606
TMP_SW_I5_20230607_1600,20230609,11.37,0.72,NA,NA,TMP,SW,I5,20230607
TMP_SW_E3_20230607_1600,20230609,3.79,0.25,NA,high blank,TMP,SW,E3,20230607
TMP_SW_B4_20230607_1600,20230609,4.27,0.36,NA,NA,TMP,SW,B4,20230607
TMP_SW_C3_20230607_1600,20230609,5.71,0.34,NA,high blank,TMP,SW,C3,20230607
TMP_SW_D5_20230607_1600,20230609,4.04,0.32,NA,high blank,TMP,SW,D5,20230607
TMP_SW_ESTUARY_20230607_1700,20230609,4.48,0.36,NA,NA,TMP,SW,NA,20230607
TMP_FW_C3_20230608,20230622,4.95,0.27,NA,high blank,TMP,FW,C3,20230608
TMP_FW_I5_20230608,20230622,6.64,0.49,NA,NA,TMP,FW,I5,20230608
TMP_FW_D5_20230608,20230622,5.88,0.27,NA,high blank,TMP,FW,D5,20230608
TMP_FW_F4_20230608,20230622,5.57,0.28,NA,high blank,TMP,FW,F4,20230608
TMP_FW_H6_20230608,20230622,8.49,0.4,NA,high blank,TMP,FW,H6,20230608
TMP_FW_D5_20230612,20230622,6.77,0.3,NA,high blank,TMP,FW,D5,20230612
TMP_FW_I5_20230612,20230622,8.2,0.39,NA,high blank,TMP,FW,I5,20230612
TMP_FW_POOL_Subsample_20230608_FW10,20230622,6,0.2,pooled sample,pooled sample,TMP,FW,POOL,20230608
TMP_FW_POOL_Subsample_20230612_FW13,20230622,7.18,0.41,pooled sample,pooled sample,TMP,FW,POOL,20230612
TMP_FW_POOL_Subsample_20230607_1600_FW11,20230622,4.87,0.31,pooled sample,pooled sample,TMP,FW,POOL,20230607
TMP_FW_POOL_Subsample_20230607_0800_FW12,20230622,6.91,0.35,pooled sample,pooled sample,TMP,FW,POOL,20230607
TMP_SW_D5_20230608,20230622,4.2,0.34,NA,high blank,TMP,SW,D5,20230608
TMP_SW_H6_20230608,20230622,4.39,0.39,NA,high blank,TMP,SW,H6,20230608
TMP_SW_B4_20230608,20230622,5.01,0.37,NA,high blank,TMP,SW,B4,20230608
TMP_SW_C3_20230608,20230622,6.32,0.43,NA,high blank,TMP,SW,C3,20230608
TMP_SW_E3_20230608,20230622,4.38,0.38,NA,high blank,TMP,SW,E3,20230608
TMP_SW_H6_20230612,20230622,5.19,0.42,NA,high blank,TMP,SW,H6,20230612
TMP_SW_E3_20230612,20230622,4.12,0.33,NA,high blank,TMP,SW,E3,20230612
TMP_SW_POOL_Subsample_20230607_1600_SW16,20230622,5.8,0.49,pooled sample,pooled sample,TMP,SW,POOL,20230607
TMP_SW_POOL_Subsample_20230607_0800_SW11,20230622,5.39,0.39,pooled sample,pooled sample,TMP,SW,POOL,20230607
TMP_SW_POOL_Subsample_20230608_SW13,20230622,5.29,0.37,pooled sample,pooled sample,TMP,SW,POOL,20230608
TMP_SW_POOL_Subsample_20230608_SW15,20230622,8.93,0.43,pooled sample,pooled sample,TMP,SW,POOL,20230608
TMP_C_H6_20230612,20230706,16.2,0.75,NA,NA,TMP,C,H6,20230612
TMP_FW_I5_20230614,20230706,10.73,0.42,NA,NA,TMP,FW,I5,20230614
TMP_FW_C3_20230614,20230706,6.84,0.31,NA,high blank,TMP,FW,C3,20230614
TMP_FW_D5_20230614,20230706,8.14,0.35,NA,NA,TMP,FW,D5,20230614
TMP_FW_I5_20230617,20230706,11.25,0.46,NA,NA,TMP,FW,I5,20230617
TMP_FW_H6_20230617,20230706,10.84,0.52,NA,NA,TMP,FW,H6,20230617
TMP_SW_C3_20230614,20230706,7.45,0.64,NA,NA,TMP,SW,C3,20230614
TMP_SW_E3_20230614,20230706,5.14,0.3,NA,high blank,TMP,SW,E3,20230614
TMP_SW_H6_20230614,20230706,5.28,0.3,NA,high blank,TMP,SW,H6,20230614
TMP_SW_F6_20230614,20230706,4.09,0.34,NA,high blank,TMP,SW,F6,20230614
TMP_SW_D5_20230614,20230706,7.68,0.44,NA,NA,TMP,SW,D5,20230614
TMP_SW_B4_20230614,20230706,7.82,0.48,NA,NA,TMP,SW,B4,20230614
TMP_SW_E3_20230617,20230706,5.16,0.33,NA,high blank,TMP,SW,E3,20230617
TMP_SW_C3_20230617,20230706,9.14,0.91,NA,NA,TMP,SW,C3,20230617
TMP_SW_B4_20230617,20230706,5.88,0.41,NA,NA,TMP,SW,B4,20230617
TMP_SW_D5_20230617,20230706,4.57,0.35,NA,high blank,TMP,SW,D5,20230617
TMP_SW_POOL_20230614,20230706,6.49,0.47,pooled sample,pooled sample,TMP,SW,POOL,20230614
TMP_SW_POOL_20230617,20230706,5,0.35,pooled sample,pooled sample,TMP,SW,POOL,20230617
TMP_C_H6_20230628,20230706,19.3,0.67,NA,NA,TMP,C,H6,20230628
TMP_C_H3_20230628,20230706,20.53,2.1,NA,NA,TMP,C,H3,20230628
TMP_C_E3_20230628,20230706,10.14,0.38,NA,NA,TMP,C,E3,20230628
TMP_C_D5_20230628,20230706,9.77,0.32,NA,high blank,TMP,C,D5,20230628
TMP_C_I5_20230628,20230706,17.09,0.48,NA,NA,TMP,C,I5,20230628
TMP_C_C3_20230628,20230706,11.68,0.36,NA,NA,TMP,C,C3,20230628
TMP_C_F6_20230628,20230706,17.37,0.49,NA,NA,TMP,C,F6,20230628
TMP_C_C6_20230628,20230706,12.88,0.43,NA,NA,TMP,C,C6,20230628
TMP_C_POOL_20230628,20230706,15.42,0.53,pooled sample,pooled sample,TMP,C,POOL,20230628
TMP_FW_B4_20230627,20230706,11.69,0.55,NA,NA,TMP,FW,B4,20230627
TMP_FW_E3_20230627,20230706,7.34,0.35,NA,NA,TMP,FW,E3,20230627
TMP_FW_F6_20230627,20230706,11.95,0.42,NA,NA,TMP,FW,F6,20230627
TMP_FW_I5_20230627,20230706,13.21,0.5,NA,NA,TMP,FW,I5,20230627
TMP_FW_C3_20230627,20230706,11.49,0.4,NA,NA,TMP,FW,C3,20230627
TMP_FW_H3_20230627,20230706,6.84,0.3,NA,high blank,TMP,FW,H3,20230627
TMP_FW_F4_20230627,20230706,12.19,0.42,NA,NA,TMP,FW,F4,20230627
TMP_FW_D5_20230627,20230706,13.08,0.36,NA,NA,TMP,FW,D5,20230627
TMP_FW_POOL_20230627,20230706,11.16,0.44,pooled sample,pooled sample,TMP,FW,POOL,20230627
TMP_SW_C6_20230627,20230706,3.78,0.25,NA,high blank,TMP,SW,C6,20230627
TMP_SW_D5_20230627,20230706,3.52,0.28,NA,high blank,TMP,SW,D5,20230627
TMP_SW_B4_20230627,20230706,6.73,0.48,NA,NA,TMP,SW,B4,20230627
TMP_SW_C3_20230627,20230706,8.13,0.48,NA,NA,TMP,SW,C3,20230627
TMP_SW_F4_20230627,20230706,6.51,0.36,NA,NA,TMP,SW,F4,20230627
TMP_SW_H6_20230627,20230706,4.82,0.26,NA,high blank,TMP,SW,H6,20230627
TMP_SW_H3_20230627,20230706,4.37,0.31,NA,high blank,TMP,SW,H3,20230627
TMP_SW_E3_20230627,20230706,3.6,0.25,NA,high blank,TMP,SW,E3,20230627
TMP_SW_F6_20230627,20230706,3.83,0.3,NA,high blank,TMP,SW,F6,20230627
TMP_SW_POOL_20230627,20230706,5.85,0.47,pooled sample,pooled sample,TMP,SW,POOL,20230627
TMP_C_H6_20230707,20230713,19.94,0.84,NA,NA,TMP,C,H6,20230707
TMP_C_I5_20230710,20230713,19.03,0.74,NA,NA,TMP,C,I5,20230710
TMP_C_H6_20230710,20230713,21.17,1.2,NA,NA,TMP,C,H6,20230710
TMP_FW_C3_20230710,20230713,13.4,0.46,NA,NA,TMP,FW,C3,20230710
TMP_FW_I5_20230707,20230713,15.8,1.19,NA,NA,TMP,FW,I5,20230707
TMP_FW_D5_20230710,20230713,14.07,0.52,NA,NA,TMP,FW,D5,20230710
TMP_FW_F4_20230710,20230713,14.93,0.57,NA,NA,TMP,FW,F4,20230710
TMP_FW_H6_20230710,20230713,14.53,0.68,NA,NA,TMP,FW,H6,20230710
TMP_FW_POOL_20230707,20230713,14.35,0.69,pooled sample,pooled sample,TMP,FW,POOL,20230707
TMP_SW_F6_20230707,20230713,4.3,0.35,NA,high blank,TMP,SW,F6,20230707
TMP_SW_B4_20230707,20230713,7.82,0.74,NA,NA,TMP,SW,B4,20230707
TMP_SW_E3_20230707,20230713,4.3,0.31,NA,high blank,TMP,SW,E3,20230707
TMP_SW_C3_20230707,20230713,9.05,0.59,NA,NA,TMP,SW,C3,20230707
TMP_SW_POOL_20230707,20230713,7.91,0.51,pooled sample,pooled sample,TMP,SW,POOL,20230707
TMP_SW_PW_F6_15cm_20220615,20220627,13.87,0.88,NA,NA,TMP,SW,F6,20220615
TMP_SW_POOL_T2,20220708,13.51,1.42,pooled sample,pooled sample,TMP,SW,POOL,T2
TMP_FW_B4_T2,20220708,16.87,1.63,high blank,high blank,TMP,FW,B4,T2
TMP_FW_F6_T3,20220708,NA,NA,omitted for high dilution and blank values,omitted for high dilution and blank values,TMP,FW,F6,T3
TMP_FW_I5_T3,20220708,13.92,0.58,NA,high blank,TMP,FW,I5,T3
TMP_FW_D5_T3,20220708,6.94,0.29,NA,high blank,TMP,FW,D5,T3
TMP_FW_SOURCE_HR2,20220622,1.96,0.25,high blank,high blank,TMP,FW,SOURCE,HR2
TMP_SW_SOURCE_HR3,20220622,5.6,0.44,NA,high blank,TMP,SW,SOURCE,HR3
TMP_SW_H6_T2,20220708,15.52,1.65,high blank,high blank,TMP,SW,H6,T2
TMP_FW_D5_T2,20220708,5.9,0.28,high blank,high blank,TMP,FW,D5,T2
TMP_FW_POOL_T2,20220708,7.58,0.36,pooled sample,pooled sample,TMP,FW,POOL,T2
TMP_FW_E3_T1,20220708,6.03,0.3,high blank,high blank,TMP,FW,E3,T1
TMP_SW_F6_T1,20220708,10.4,0.57,NA,high blank,TMP,SW,F6,T1
TMP_SW_C6_T3,20220708,7.42,0.78,NA,NA,TMP,SW,C6,T3
TMP_FW_H6_T1,20220729,NA,NA,omitted for high dilution and blank values,omitted for high dilution and blank values,TMP,FW,H6,T1
TMP_FW_B4_T1,20220729,NA,NA,omitted for high dilution and blank values,omitted for high dilution and blank values,TMP,FW,B4,T1
TMP_FW_WELL_T1,20220729,11.54,0.21,high blank,high blank,TMP,FW,WELL,T1
TMP_FW_F6_T1,20220729,NA,NA,omitted for high dilution and blank values,omitted for high dilution and blank values,TMP,FW,F6,T1
TMP_FW_C6_T2,20220729,NA,NA,omitted for high dilution and blank values,omitted for high dilution and blank values,TMP,FW,C6,T2
TMP_C_H6_T2,20220729,19.16,0.59,high blank,high blank,TMP,C,H6,T2
TMP_FW_WELL_T2,20220729,9.35,0.6,high blank,high blank,TMP,FW,WELL,T2
TMP_SW_H3_20220721,20220803,86.27,2.94,NA,NA,TMP,SW,H3,20220721
TMP_C_B4_20220518,20220518,18.19,NA,average value of multiple aliquots,replicates greater than 20% different,TMP,C,B4,20220518
TMP_C_C6_20220518,20220518,NA,0.365,replicates greater than 20% different,average value of multiple aliquots,TMP,C,C6,20220518
TMP_C_E3_20220518,20220518,9.879999999999999,0.5349999999999999,average value of multiple aliquots,average value of multiple aliquots,TMP,C,E3,20220518
TMP_C_F6_20220518,20220518,7.459999999999999,0.335,average value of multiple aliquots,average value of multiple aliquots,TMP,C,F6,20220518
TMP_C_H3_20220518,20220518,NA,NA,replicates greater than 20% different,replicates greater than 20% different,TMP,C,H3,20220518
TMP_C_I5_20220518,20220518,9.385,NA,average value of multiple aliquots,replicates greater than 20% different,TMP,C,I5,20220518
TMP_ESTUARY_BARGE_HR8,20220622,NA,NA,replicates greater than 20% different,replicates greater than 20% different,TMP,ESTUARY,BARGE,HR8
TMP_FW_C3_20220520,20220520,NA,NA,replicates greater than 20% different,replicates greater than 20% different,TMP,FW,C3,20220520
TMP_FW_C6_20220518,20220518,21.68,NA,average value of multiple aliquots,replicates greater than 20% different,TMP,FW,C6,20220518
TMP_FW_D5_20220518,20220518,NA,NA,replicates greater than 20% different,replicates greater than 20% different,TMP,FW,D5,20220518
TMP_FW_F4_20220518,20220518,NA,NA,replicates greater than 20% different,replicates greater than 20% different,TMP,FW,F4,20220518
TMP_FW_H3_20220518,20220518,NA,NA,replicates greater than 20% different,replicates greater than 20% different,TMP,FW,H3,20220518
TMP_FW_SOURCE_HR4,20220622,NA,NA,replicates greater than 20% different,replicates greater than 20% different,TMP,FW,SOURCE,HR4
TMP_SW_H3_20220811,20220811,83.08,2.9699999999999998,average value of multiple aliquots,average value of multiple aliquots,TMP,SW,H3,20220811
TMP_SW_SOURCE_HR5,20220622,5.615,0.405,average value of multiple aliquots,average value of multiple aliquots,TMP,SW,SOURCE,HR5
TMP_SW_SOURCE_HR7,20220622,4.765000000000001,0.375,average value of multiple aliquots,average value of multiple aliquots,TMP,SW,SOURCE,HR7
