plot,grid,mean_vwc_m3m3_15cm,min_vwc_m3m3_15cm,max_vwc_m3m3_15cm,evacuation_datetime,collection_datetime,elapsed_time,tz,grid_vols_mL,doc_mg_l,tdn_mg_l
Control,H6,0.273928897,0.263319832,0.283665187,2023-06-08T20:47:00Z,2023-06-12T14:22:00Z,89.5833333333333,EDT,20.5,16.2,0.75
Control,H6,0.2651405121052632,0.251190199,0.313770106,2023-06-23T18:18:00Z,2023-06-28T18:54:00Z,120.6,EDT,64,19.3,0.67
Control,H6,0.2722508211842105,0.266496733,0.280561987,2023-07-05T16:15:00Z,2023-07-07T15:42:00Z,47.45,EDT,26.5,19.94,0.84
Control,H6,0.2658942170648464,0.250639381,0.296198236,2023-07-07T15:42:00Z,2023-07-10T16:55:00Z,73.2166666666667,EDT,38,21.17,1.2
Control,H6,0.2934317766013986,0.285608566,0.301752964,2023-08-04T16:03:00Z,2023-08-07T15:49:00Z,71.7666666666667,EDT,29,16.67,0.68
Control,H6,0.31036539687142856,0.280980919,0.329142583,2023-08-07T15:49:00Z,2023-08-10T14:08:00Z,70.3166666666667,EDT,35,17.54,0.65
Control,I5,0.3226728150625,0.298149373,0.407137636,2022-07-14T15:59:00Z,2022-07-18T15:59:00Z,96,EDT,25,18.21,0.74
Freshwater,B4,0.3287343889609375,0.296237026,0.384472639,2022-07-14T15:59:00Z,2022-07-18T15:59:00Z,96,EDT,5,11.88,1.07
Control,I5,0.3220248214440559,0.314976475,0.330919165,2023-05-31T18:36:00Z,2023-06-03T18:00:00Z,71.4,EDT,61,20.45,0.44
Control,I5,0.2951167853160083,0.267520789,0.331369129,2023-06-23T18:21:00Z,2023-06-28T18:40:00Z,120.316666666667,EDT,64,17.09,0.48
Control,I5,0.28873810097959185,0.268513813,0.333157348,2023-07-07T15:38:00Z,2023-07-10T17:10:00Z,73.5333333333333,EDT,38,19.03,0.74
Control,I5,0.3223804746892857,0.288095005,0.395151526,2023-08-07T15:56:00Z,2023-08-10T13:57:00Z,70.0166666666667,EDT,34,20.34,0.6
Control,I5,0.3162016964825175,0.314848468,0.322517251,2023-12-05T14:50:00Z,2023-12-08T14:49:00Z,71.9833333333333,EST,39,17.68,0.51
Control,I5,0.3176113634651568,0.313432633,0.344833138,2023-12-05T14:50:00Z,2023-12-11T14:49:00Z,143.983333333333,EST,50,17.68,0.51
Freshwater,C3,0.34494503431010454,0.333428878,0.389205019,2022-05-12T15:59:00Z,2022-05-18T15:59:00Z,144,EDT,8,7.01,0.33
Estuarine-water,B4,0.268725274496063,0.248529205,0.307687834,2022-07-14T15:20:00Z,2022-07-18T16:05:00Z,96.75,EDT,36.5,21.99,0.7
Estuarine-water,C3,0.27492419385156247,0.260204995,0.328704256,2022-07-14T15:20:00Z,2022-07-18T16:05:00Z,96.75,EDT,16.5,9.15,0.47
Estuarine-water,D5,0.27900045471842105,0.256876813,0.308537335,2022-07-14T15:20:00Z,2022-07-18T16:05:00Z,96.75,EDT,15.5,6.11,0.44
Estuarine-water,F6,0.2673141756498055,0.258273253,0.301764601,2022-07-14T15:20:00Z,2022-07-18T16:05:00Z,96.75,EDT,16.5,4.94,0.41
Estuarine-water,I5,0.2616323237124011,0.244025686,0.30110905,2022-07-14T15:20:00Z,2022-07-18T16:05:00Z,96.75,EDT,36.5,15.02,1.07
Estuarine-water,B4,0.2851891141340206,0.278932807,0.295073326,2022-08-05T16:55:00Z,2022-08-08T17:56:00Z,73.0166666666667,EDT,36.5,84.9,1.95
