simulation_id,Timepoint,analyte,upper_ci,lower_ci,value,Exp_Type,Treatment
2,3,doc_mgperL,14.625992223755231,11.526077541757138,13.490943186276155,ASW,0.1
2,4,Ca_ppm,0.2289828452827899,0.19276987416895516,0.21331830872515062,ASW,0.1
2,4,conductivity_uSpercm,12.568121672955975,11.561531111280788,12.163965595828444,ASW,0.1
2,4,doc_mgperL,12.410989961187646,9.82342979322068,11.383158055630853,ASW,0.1
2,5,Ca_ppm,0.22852886151507315,0.19207601734059118,0.21294994772942916,ASW,0.1
2,5,conductivity_uSpercm,12.521638446276782,11.517042559548722,12.118343042365538,ASW,0.1
2,5,doc_mgperL,10.984458826786195,8.717459445072635,9.921881234606271,ASW,0.1
2,6,Ca_ppm,0.22849289013714552,0.19201599229930374,0.21290904526897922,ASW,0.1
2,6,conductivity_uSpercm,12.517641916239834,11.51328318175246,12.114773356132606,ASW,0.1
2,6,doc_mgperL,9.913648401408754,7.901510106485403,8.969115983299876,ASW,0.1
3,1,Ca_ppm,5.468269646238621,4.184861178045617,4.997634161870738,ASW,1
3,1,conductivity_uSpercm,798.5299210045509,794.4675232514918,797.1037055996,ASW,1
3,1,doc_mgperL,8.27887181093564,6.588285893764228,7.619572637462879,ASW,1
3,2,Ca_ppm,0.625071055227728,0.4775238408860868,0.5479399882691979,ASW,1
3,2,conductivity_uSpercm,84.36616030759379,74.70806090057178,80.48019925467973,ASW,1
3,2,doc_mgperL,24.48873193898023,18.79861357481545,22.571008225285794,ASW,1
3,3,Ca_ppm,0.25536979820289435,0.21469878774323037,0.23786666876355092,ASW,1
3,3,conductivity_uSpercm,21.049778068166823,19.108636967801438,20.33295606816437,ASW,1
3,3,doc_mgperL,22.399313966954242,17.70181382562302,20.486726415928864,ASW,1
3,4,Ca_ppm,0.23049837512025545,0.19469973855421008,0.21431570686971785,ASW,1
3,4,conductivity_uSpercm,16.00249045555735,13.99145712867458,15.211309349936663,ASW,1
3,4,doc_mgperL,17.80050723157162,13.477264640700097,15.983601338621382,ASW,1
3,5,Ca_ppm,0.2286421045501252,0.19224295991147192,0.21302871323520056,ASW,1
3,5,conductivity_uSpercm,15.568655980140083,13.54512140622124,14.799750995323718,ASW,1
3,5,doc_mgperL,14.618153514214113,10.744356413396506,12.835186027529407,ASW,1
3,6,Ca_ppm,0.22850168067603,0.19203043932130626,0.21291886245771968,ASW,1
3,6,conductivity_uSpercm,15.543521126591797,13.506976957712748,14.765639052015468,ASW,1
3,6,doc_mgperL,12.522395124539617,9.144556880357046,10.898821745091585,ASW,1
4,1,Ca_ppm,16.144372555368456,13.73982042115521,15.148719020791644,ASW,5
4,1,conductivity_uSpercm,2913.029921004551,2908.9675232514924,2911.6037055996,ASW,5
4,1,doc_mgperL,7.967896816592452,6.186332797493236,7.253809679988187,ASW,5
4,2,Ca_ppm,1.5168198976679603,1.0192831809314757,1.2597540731410932,ASW,5
4,2,conductivity_uSpercm,273.81311794557604,236.53452605165154,260.0446376069141,ASW,5
4,2,doc_mgperL,18.923277873394216,11.268489097663235,15.823030160789209,ASW,5
4,3,Ca_ppm,0.330873705660668,0.24571264963937078,0.28978863028200996,ASW,5
4,3,conductivity_uSpercm,39.52329356675741,33.986504157018054,37.071353446641986,ASW,5
4,3,doc_mgperL,27.12430173783423,20.16854255947571,23.801089341224237,ASW,5
4,4,Ca_ppm,0.23462349641221053,0.19833606871174503,0.21919484869763278,ASW,5
4,4,conductivity_uSpercm,19.3045791496962,17.098856449279108,18.3083950403133,ASW,5
4,4,doc_mgperL,20.98930322580676,15.750205071140511,18.883583688745375,ASW,5
4,5,Ca_ppm,0.2289522686156079,0.1927812465077322,0.2132461712114087,ASW,5
4,5,conductivity_uSpercm,17.75755413344236,14.907298299126639,16.67868666376784,ASW,5
4,5,doc_mgperL,16.741223342337737,12.102038170662604,14.70021279613357,ASW,5
4,6,Ca_ppm,0.22852832963197092,0.19207702763352158,0.21294445660950412,ASW,5
4,6,conductivity_uSpercm,17.611361581609447,14.766207639517305,16.543679674495724,ASW,5
4,6,doc_mgperL,13.926829511192794,9.934788520217635,12.107360970114676,ASW,5
5,1,Ca_ppm,63.802863612324856,58.38857421057069,61.25047634340483,ASW,25
5,1,conductivity_uSpercm,16154.029921004552,16149.967523251491,16152.603705599598,ASW,25
5,1,doc_mgperL,7.967896813780024,6.18611443527983,7.253789727524328,ASW,25
5,2,Ca_ppm,5.5708665008481155,3.39117725235,4.446406027145544,ASW,25
5,2,conductivity_uSpercm,1453.2404599887604,1240.7700515168565,1377.195755926841,ASW,25
5,2,doc_mgperL,8.123818133325537,6.45753089713533,7.544976251021193,ASW,25
5,3,Ca_ppm,0.6860255004977347,0.3647718167379042,0.5115974609497789,ASW,25
5,3,conductivity_uSpercm,146.27088597478806,113.04438663240614,133.24613423571427,ASW,25
5,3,doc_mgperL,26.373953264655256,19.88427541027626,24.015425875092113,ASW,25
5,4,Ca_ppm,0.2611653359040327,0.21119985657339527,0.23666343734351725,ASW,25
5,4,conductivity_uSpercm,30.78667908357957,26.221360379584674,28.88631359699877,ASW,25
5,4,doc_mgperL,24.68956457286301,19.003343395731555,22.07715561287784,ASW,25
5,5,Ca_ppm,0.23048375692680917,0.1946261194740641,0.21408377790073033,ASW,25
5,5,conductivity_uSpercm,21.528866794835345,17.59415822567285,20.079648653105593,ASW,25
5,5,doc_mgperL,19.35297498264837,14.190488476463697,17.174297694791925,ASW,25
5,6,Ca_ppm,0.2286497835295506,0.19229372566897293,0.21301957253586856,ASW,25
5,6,conductivity_uSpercm,20.765387346419597,16.645335842523803,19.290271456179667,ASW,25
5,6,doc_mgperL,15.506663803988516,11.08219569683101,13.668270230478182,ASW,25
6,1,Ca_ppm,229.71908711670991,220.64812882098312,225.85790654100595,ASW,100
6,1,conductivity_uSpercm,56364.02992100455,56359.96752325149,56362.6037055996,ASW,100
6,1,doc_mgperL,7.967896813780024,6.18611443527983,7.253789727524328,ASW,100
6,2,Ca_ppm,20.04729440408272,11.630783176239527,15.776832882135835,ASW,100
6,2,conductivity_uSpercm,5030.187045907299,4283.988147454393,4763.684633805542,ASW,100
6,2,doc_mgperL,7.967896814085115,6.186168519050223,7.253794254428849,ASW,100
6,3,Ca_ppm,1.9667744019712368,0.7714909815209163,1.3022846739264384,ASW,100
6,3,conductivity_uSpercm,466.04475739319787,345.63327500333037,420.24361436474936,ASW,100
6,3,doc_mgperL,18.43345832548529,8.548644506680205,14.501483633436205,ASW,100
6,4,Ca_ppm,0.3777563222355305,0.23545747392815428,0.2933825324845161,ASW,100
6,4,conductivity_uSpercm,60.63880488142675,47.78406468798642,54.87317401539643,ASW,100
6,4,doc_mgperL,28.134664294894407,21.038340084713546,24.688191561726704,ASW,100
6,5,Ca_ppm,0.23683462482372947,0.1981861356347704,0.21952573702996248,ASW,100
6,5,conductivity_uSpercm,26.156849948929676,21.95316999368127,24.44673591046818,ASW,100
6,5,doc_mgperL,22.101307682277596,16.354573686625564,19.676320308316555,ASW,100
6,6,Ca_ppm,0.22900409761778287,0.1930797813740166,0.21326566491470594,ASW,100
6,6,conductivity_uSpercm,23.612805787753253,18.292515308588914,21.66244870490238,ASW,100
6,6,doc_mgperL,17.5049858250895,12.46448332115687,15.321332060219213,ASW,100
7,1,Ca_ppm,0.36782194372300925,0.2100182134370024,0.31135784653529264,NaCl,0
7,1,conductivity_uSpercm,15.050921004550911,10.988523251491907,13.624705599599936,NaCl,0
7,1,doc_mgperL,9.94638225641456,7.659105875225359,8.856593342217971,NaCl,0
7,2,Ca_ppm,0.03977399756855835,0.02092351976000166,0.031101554573456258,NaCl,0
7,2,conductivity_uSpercm,8.990314403257246,8.200893083268202,8.737130490498856,NaCl,0
7,2,doc_mgperL,9.237810191454631,7.433935190478813,8.52564380922254,NaCl,0
7,3,Ca_ppm,0.012522981553595769,0.010596717244494373,0.011466648603377275,NaCl,0
7,3,conductivity_uSpercm,8.645850293091542,7.6313782471672384,8.27455287270556,NaCl,0
7,3,doc_mgperL,8.708980452278126,7.2239416440397015,8.115725335603717,NaCl,0
7,4,Ca_ppm,0.010221450334850111,0.010032603870635424,0.010102512320574197,NaCl,0
7,4,conductivity_uSpercm,8.617592338835408,7.601057195251395,8.239137375241011,NaCl,0
7,4,doc_mgperL,8.444645406690045,6.960170927688031,7.841733775530145,NaCl,0
7,5,Ca_ppm,0.01001960007150678,0.010001751769308717,0.010006920687823152,NaCl,0
7,5,conductivity_uSpercm,8.615178625659013,7.598705780033628,8.235661914515234,NaCl,0
7,5,doc_mgperL,8.173810075157474,6.726255680738286,7.661297411001936,NaCl,0
7,6,Ca_ppm,0.010001731459787857,0.010000086498213974,0.010000484717453576,NaCl,0
7,6,conductivity_uSpercm,8.614972444586225,7.5985233745706395,8.235356838658609,NaCl,0
7,6,doc_mgperL,8.119874536849343,6.584420955607317,7.524042058080244,NaCl,0
8,1,Ca_ppm,1.5859372336873603,1.121412206645462,1.4034130337585675,NaCl,0.1
8,1,conductivity_uSpercm,105.72992100455093,101.66752325149191,104.30370559959994,NaCl,0.1
8,1,doc_mgperL,16.55583614712259,10.58841934231612,14.44149762743707,NaCl,0.1
8,2,Ca_ppm,0.13110922715245518,0.08069110600552407,0.10702355642378908,NaCl,0.1
8,2,conductivity_uSpercm,20.50909841693057,19.194035666174397,19.935028141625082,NaCl,0.1
8,2,doc_mgperL,19.88714748065792,14.679631441915978,17.852928844766623,NaCl,0.1
8,3,Ca_ppm,0.02069821315013097,0.013927657378811147,0.016704533856995808,NaCl,0.1
8,3,conductivity_uSpercm,13.329379245480746,12.34767747599769,12.900842915022682,NaCl,0.1
8,3,doc_mgperL,15.933660271084902,12.32521972298471,14.45756595543465,NaCl,0.1
8,4,Ca_ppm,0.010928720798535735,0.010195786760732772,0.010459508379107613,NaCl,0.1
8,4,conductivity_uSpercm,12.716323693511528,11.699452361647449,12.315754547527355,NaCl,0.1
8,4,doc_mgperL,13.094647045370039,10.277366620056267,12.04812850593358,NaCl,0.1
8,5,Ca_ppm,0.010081251559424645,0.010009667038714762,0.010031387668164287,NaCl,0.1
8,5,conductivity_uSpercm,12.663194363829279,11.648732836541058,12.26384311731708,NaCl,0.1
8,5,doc_mgperL,11.5716978908578,8.969774990472057,10.369905428080136,NaCl,0.1
8,6,Ca_ppm,0.010007165924279327,0.010000477327857188,0.010002172002697414,NaCl,0.1
8,6,conductivity_uSpercm,12.658408170487274,11.644446922447178,12.259443041436146,NaCl,0.1
8,6,doc_mgperL,10.349222873841663,8.111319439844554,9.249834016897456,NaCl,0.1
9,1,Ca_ppm,3.284648732095624,2.040545813986572,2.827476550014055,NaCl,1
9,1,conductivity_uSpercm,742.229921004551,738.167523251492,740.8037055996,NaCl,1
9,1,doc_mgperL,11.220085399445914,7.283751771515157,9.109380946439796,NaCl,1
9,2,Ca_ppm,0.24952857792055338,0.14556044072155097,0.20350157174708483,NaCl,1
9,2,conductivity_uSpercm,79.27807760059345,70.34805117129955,75.6577355552423,NaCl,1
9,2,doc_mgperL,28.218026254036825,21.906755113552617,25.35593114198099,NaCl,1
9,3,Ca_ppm,0.03094893701184883,0.01836384737494224,0.02357425814057708,NaCl,1
9,3,conductivity_uSpercm,20.526586295456042,18.66914449568733,19.830190427699527,NaCl,1
9,3,doc_mgperL,23.40695608613835,17.871795580001393,20.90748503103537,NaCl,1
9,4,Ca_ppm,0.01183567638875444,0.010422106611946652,0.010924355088527227,NaCl,1
9,4,conductivity_uSpercm,15.861006637722571,13.888487326748889,15.08522779601285,NaCl,1
9,4,doc_mgperL,18.36299175263468,13.55135029432361,16.30168399080163,NaCl,1
9,5,Ca_ppm,0.01016059782463906,0.010021039311404908,0.010064159604768058,NaCl,1
9,5,conductivity_uSpercm,15.45583523245482,13.47420498005948,14.69896469552903,NaCl,1
9,5,doc_mgperL,15.087670035060924,10.738335776531342,13.132120990808373,NaCl,1
9,6,Ca_ppm,0.010014329784132622,0.010001038848936702,0.010004401390893366,NaCl,1
9,6,conductivity_uSpercm,15.432894921360468,13.438799857034034,14.666714212100661,NaCl,1
9,6,doc_mgperL,12.796329096313105,9.166217560425057,10.983022890726573,NaCl,1
10,1,Ca_ppm,5.803451522402019,3.1896231271731796,4.695019456935246,NaCl,5
10,1,conductivity_uSpercm,3439.029921004551,3434.967523251492,3437.6037055996,NaCl,5
10,1,doc_mgperL,7.980737155577957,6.407105893153453,7.35462388263974,NaCl,5
10,2,Ca_ppm,0.40682947765501515,0.21626516775563934,0.3433082610455943,NaCl,5
10,2,conductivity_uSpercm,320.775664590225,276.5749653576115,304.5400618356665,NaCl,5
10,2,doc_mgperL,26.37839738445969,19.012076687322786,23.657968089040505,NaCl,5
10,3,Ca_ppm,0.04530233580752901,0.024241706816134398,0.033079901257497456,NaCl,5
10,3,conductivity_uSpercm,43.880502562779476,37.46011551980581,41.054572721659625,NaCl,5
10,3,doc_mgperL,26.811457093626256,20.003192747387402,23.55764407860132,NaCl,5
10,4,Ca_ppm,0.013041537276681793,0.010718725291050491,0.011590444767030129,NaCl,5
10,4,conductivity_uSpercm,19.829822368072094,17.65085779675743,18.869317451540702,NaCl,5
10,4,doc_mgperL,20.797121156199623,15.239351358771714,18.2811041667765,NaCl,5
10,5,Ca_ppm,0.010268818549847,0.010036273483465875,0.010108536264209628,NaCl,5
10,5,conductivity_uSpercm,18.071554712033397,15.10281548865134,16.946265599234046,NaCl,5
10,5,doc_mgperL,16.594641303145327,11.5855245883729,14.35157257219667,NaCl,5
10,6,Ca_ppm,0.010024018799906406,0.01000183079051477,0.010007447154545683,NaCl,5
10,6,conductivity_uSpercm,17.899427231847717,14.936109096024733,16.794448404395037,NaCl,5
10,6,doc_mgperL,13.717197110397684,9.670157079570574,11.842049303286256,NaCl,5
11,1,Ca_ppm,10.274463653188837,4.938008021493138,7.752296797832664,NaCl,25
11,1,conductivity_uSpercm,15594.02992100455,15589.967523251491,15592.603705599598,NaCl,25
11,1,doc_mgperL,7.967896813789642,6.186120169927907,7.253789727525863,NaCl,25
11,2,Ca_ppm,0.6704512219406089,0.3446046195378189,0.5750462771792066,NaCl,25
11,2,conductivity_uSpercm,1403.4023085039305,1198.3565664168264,1329.9942456543204,NaCl,25
11,2,doc_mgperL,18.67710952848728,8.238144652604438,13.291020758712765,NaCl,25
11,3,Ca_ppm,0.06758223581428979,0.03172152916101743,0.048828887560402795,NaCl,25
11,3,conductivity_uSpercm,141.79300599173058,109.77186837157159,129.21368469416512,NaCl,25
11,3,doc_mgperL,30.885882595618448,22.113963073211483,26.585759491086144,NaCl,25
11,4,Ca_ppm,0.015000940062017638,0.011209229055223672,0.012764732302755415,NaCl,25
11,4,conductivity_uSpercm,30.32659090811652,25.890011871613822,28.47270063301424,NaCl,25
11,4,doc_mgperL,24.06950849353125,18.123258411334007,21.096403413965916,NaCl,25
11,5,Ca_ppm,0.01044442071754676,0.01006102682110407,0.010186816613223834,NaCl,25
11,5,conductivity_uSpercm,21.432522797958566,17.505809178715268,19.990815847858673,NaCl,25
11,5,doc_mgperL,18.941430397363945,13.360770285472917,16.37987197517745,NaCl,25
11,6,Ca_ppm,0.010039788862979702,0.010003080046758312,0.010012682221854023,NaCl,25
11,6,conductivity_uSpercm,20.692038907863235,16.6032079972709,19.22911137450606,NaCl,25
11,6,doc_mgperL,15.31835666721844,10.587935118373414,13.052637312286597,NaCl,25
12,1,Ca_ppm,17.426404476857634,7.487424904334215,13.251998770174904,NaCl,100
12,1,conductivity_uSpercm,70164.02992100455,70159.96752325149,70162.6037055996,NaCl,100
12,1,doc_mgperL,7.967896813780024,6.18611443527983,7.253789727524328,NaCl,100
12,2,Ca_ppm,1.1499895284685566,0.514026380160887,0.9603946803443129,NaCl,100
12,2,conductivity_uSpercm,6257.515002437493,5328.034093994372,5925.547721841023,NaCl,100
12,2,doc_mgperL,8.505843308204815,6.393084457754289,7.492839909981215,NaCl,100
12,3,Ca_ppm,0.10348511233395953,0.04277625315443555,0.07477819795660418,NaCl,100
12,3,conductivity_uSpercm,575.4925329295742,425.04749468391924,518.4555453015037,NaCl,100
12,3,doc_mgperL,28.392291177944458,16.946623491870508,24.70107162833762,NaCl,100
12,4,Ca_ppm,0.018186462179642537,0.01184742058123504,0.014657371345215088,NaCl,100
12,4,conductivity_uSpercm,70.64849865542448,54.25498485446364,63.5149442942764,NaCl,100
12,4,doc_mgperL,27.042450824456214,19.38961039995037,23.823086845693744,NaCl,100
12,5,Ca_ppm,0.010715960910288268,0.010102283751467761,0.010326512549636301,NaCl,100
12,5,conductivity_uSpercm,27.344415947215484,22.78989083619067,25.619255288305,NaCl,100
12,5,doc_mgperL,21.266392131281556,15.320131652403303,18.439794825333852,NaCl,100
12,6,Ca_ppm,0.010064018105962457,0.010005162139864798,0.010022029554295753,NaCl,100
12,6,conductivity_uSpercm,24.17717944631686,18.624874284214187,22.15667762400981,NaCl,100
12,6,doc_mgperL,16.98453527734615,11.64736293000768,14.456125805662433,NaCl,100
13,1,Ca_ppm,53.452861338902906,48.47150788921089,51.07545006778339,ColEx,ASW
13,1,conductivity_uSpercm,13254.02992100455,13249.967523251491,13252.603705599598,ColEx,ASW
