Event,plot,grid,sample_name,doc_mg_l,tdn_mg_l,evacuation_date,collection_datetime,tz
TMP,Estuarine-water,B4,TMP_SW_B4_20230417,49.13,1.19,2023-04-14,2023-04-17T16:49:00Z,EDT
TMP,Estuarine-water,D5,TMP_SW_D5_20230417,58,1.72,2023-04-14,2023-04-17T17:01:00Z,EDT
TMP,Estuarine-water,E3,TMP_SW_E3_20230417,42.35,1.35,2023-04-14,2023-04-17T17:16:00Z,EDT
TMP,Estuarine-water,C3,TMP_SW_C3_20230417,53.19,1.59,2023-04-14,2023-04-17T16:38:00Z,EDT
TMP,Estuarine-water,H6,TMP_SW_H6_20230417,36.41,1.08,2023-04-14,2023-04-17T18:59:00Z,NA
TMP,Control,I5,TMP_C_I5_20230515,15.39,0.48,2023-05-12,2023-05-15T19:25:00Z,EDT
TMP,Control,F6,TMP_C_F6_20230515,15.58,0.41,2023-05-12,2023-05-15T19:50:00Z,EDT
TMP,Control,E3,TMP_C_E3_20230515,9.92,0.48,2023-05-12,2023-05-15T21:46:00Z,EDT
TMP,Control,C6,TMP_C_C6_20230515,9.93,0.32,2023-05-12,2023-05-15T22:02:00Z,EDT
TMP,Control,H6,TMP_C_H6_20230515,14.55,0.5,2023-05-12,2023-05-15T19:32:00Z,EDT
TMP,Control,H6,TMP_C_H6_20230515,14.55,0.5,2023-05-12,2023-05-15T19:32:00Z,EDT
TMP,Freshwater,B4,TMP_FW_B4_20230515,7.94,0.27,2023-05-12,2023-05-15T23:45:00Z,EDT
TMP,Freshwater,C6,TMP_FW_C6_20230515,7.45,0.34,2023-05-12,2023-05-15T23:28:00Z,EDT
TMP,Freshwater,D5,TMP_FW_D5_20230515,11.23,0.35,2023-05-12,2023-05-15T23:37:00Z,EDT
TMP,Freshwater,D5,TMP_FW_D5_20230515,11.23,0.35,2023-05-12,2023-05-15T23:37:00Z,EDT
TMP,Freshwater,I5,TMP_FW_I5_20230515,11.96,0.42,2023-05-12,2023-05-16T00:26:00Z,EDT
TMP,Freshwater,I5,TMP_FW_I5_20230515,11.96,0.42,2023-05-12,2023-05-16T00:26:00Z,EDT
TMP,Freshwater,E3,TMP_FW_E3_20230515,6.88,0.26,2023-05-12,2023-05-15T20:17:00Z,EDT
TMP,Freshwater,H6,TMP_FW_H6_20230515,12.36,0.52,2023-05-12,2023-05-16T00:34:00Z,EDT
TMP,Freshwater,C3,TMP_FW_C3_20230515,7.51,0.29,2023-05-12,2023-05-15T23:55:00Z,EDT
TMP,Freshwater,H3,TMP_FW_H3_20230515,9.76,0.68,2023-05-12,2023-05-16T00:15:00Z,EDT
TMP,Freshwater,F6,TMP_FW_F6_20230515,14.77,0.37,2023-05-12,2023-05-16T00:46:00Z,EDT
TMP,Freshwater,F6,TMP_FW_F6_20230515,14.77,0.37,2023-05-12,2023-05-16T00:46:00Z,EDT
TMP,Estuarine-water,F6,TMP_SW_F6_20230515,50.96,1.67,2023-05-12,2023-05-15T22:59:00Z,EDT
TMP,Estuarine-water,H3,TMP_SW_H3_20230515,24.18,0.84,2023-05-12,2023-05-15T23:05:00Z,EDT
TMP,Estuarine-water,B4,TMP_SW_B4_20230515,50.34,2.75,2023-05-12,2023-05-15T22:11:00Z,EDT
TMP,Estuarine-water,C3,TMP_SW_C3_20230515,53.12,1.41,2023-05-12,2023-05-15T22:37:00Z,EDT
TMP,Estuarine-water,H6,TMP_SW_H6_20230515,27.36,0.67,2023-05-12,2023-05-15T23:15:00Z,EDT
TMP,Control,I5,TMP_C_I5_20230603,20.45,0.44,2023-05-31,2023-06-03T21:00:00Z,EDT
TMP,Control,H6,TMP_C_H6_20230603,24.67,0.53,2023-05-31,2023-06-03T21:15:00Z,EDT
TMP,Control,C6,TMP_C_C6_20230603,21.48,0.32,2023-05-31,2023-06-03T21:41:00Z,EDT
TMP,Freshwater,D5,TMP_FW_D5_20230603,10.05,0.36,2023-05-31,2023-06-03T22:52:00Z,EDT
TMP,Freshwater,I5,TMP_FW_I5_20230603,11.05,0.4,2023-05-31,2023-06-03T23:09:00Z,EDT
TMP,Freshwater,D5,TMP_FW_D5_20230605,5.19,0.2,NA,2023-06-05T18:59:00Z,NA
TMP,Estuarine-water,B4,TMP_SW_B4_20230603,67.48,1.45,2023-05-31,2023-06-03T22:06:00Z,EDT
TMP,Freshwater,B4,TMP_FW_B4_20230606,5.93,0.67,2023-06-05,2023-06-06T23:30:00Z,EDT
TMP,Freshwater,H3,TMP_FW_H3_20230606,4.16,0.19,2023-06-05,2023-06-07T01:00:00Z,EDT
TMP,Freshwater,I5,TMP_FW_I5_20230606,4.44,0.24,2023-06-05,2023-06-07T00:45:00Z,EDT
TMP,Freshwater,F4,TMP_FW_F4_20230606,5.71,0.28,2023-06-05,2023-06-07T00:16:00Z,EDT
TMP,Freshwater,D5,TMP_FW_D5_20230606,5.95,0.25,2023-06-05,2023-06-06T23:50:00Z,EDT
TMP,Freshwater,F4,TMP_FW_F4_20230606_0800,7.44,0.3,2023-06-05,2023-06-07T00:16:00Z,EDT
TMP,Freshwater,C3,TMP_FW_C3_20230607_0800,6.18,0.31,2023-06-07,2023-06-08T00:34:00Z,EDT
TMP,Freshwater,C3,TMP_FW_C3_20230607_0800,6.18,0.31,2023-06-06,2023-06-07T16:02:00Z,EDT
TMP,Freshwater,I5,TMP_FW_I5_20230607_0800,7.46,0.46,2023-06-07,2023-06-08T00:04:00Z,EDT
TMP,Freshwater,I5,TMP_FW_I5_20230607_0800,7.46,0.46,2023-06-06,2023-06-07T15:01:00Z,EDT
TMP,Freshwater,H3,TMP_FW_H3_20230607_0800,4.69,0.23,2023-06-07,2023-06-07T23:54:00Z,EDT
TMP,Freshwater,H3,TMP_FW_H3_20230607_0800,4.69,0.23,2023-06-06,2023-06-07T15:27:00Z,EDT
TMP,Freshwater,H6,TMP_FW_H6_20230607_0800,8.28,0.41,2023-06-07,2023-06-07T23:43:00Z,EDT
TMP,Freshwater,H6,TMP_FW_H6_20230607_0800,8.28,0.41,2023-06-06,2023-06-07T15:15:00Z,EDT
TMP,Freshwater,D5,TMP_FW_D5_20230607_0800,7.08,0.24,2023-06-07,2023-06-08T01:05:00Z,EDT
TMP,Freshwater,D5,TMP_FW_D5_20230607_0800,7.08,0.24,2023-06-06,2023-06-07T16:21:00Z,EDT
TMP,Freshwater,D5,TMP_FW_D5_20230607_1600,5.98,0.24,2023-06-07,2023-06-08T01:05:00Z,EDT
TMP,Freshwater,D5,TMP_FW_D5_20230607_1600,5.98,0.24,2023-06-06,2023-06-07T16:21:00Z,EDT
TMP,Freshwater,H6,TMP_FW_H6_20230607_1600,8.16,0.54,2023-06-07,2023-06-07T23:43:00Z,EDT
TMP,Freshwater,H6,TMP_FW_H6_20230607_1600,8.16,0.54,2023-06-06,2023-06-07T15:15:00Z,EDT
TMP,Freshwater,H3,TMP_FW_H3_20230607_1600,4.17,0.21,2023-06-07,2023-06-07T23:54:00Z,EDT
TMP,Freshwater,H3,TMP_FW_H3_20230607_1600,4.17,0.21,2023-06-06,2023-06-07T15:27:00Z,EDT
TMP,Freshwater,I5,TMP_FW_I5_20230607_1600,4.08,0.18,2023-06-07,2023-06-08T00:04:00Z,EDT
TMP,Freshwater,I5,TMP_FW_I5_20230607_1600,4.08,0.18,2023-06-06,2023-06-07T15:01:00Z,EDT
TMP,Freshwater,F4,TMP_FW_F4_20230607_1600,4.65,0.2,2023-06-07,2023-06-08T00:54:00Z,EDT
TMP,Freshwater,F4,TMP_FW_F4_20230607_1600,4.65,0.2,2023-06-06,2023-06-07T15:40:00Z,EDT
TMP,Freshwater,C3,TMP_FW_C3_20230607_1600,4.51,0.19,2023-06-07,2023-06-08T00:34:00Z,EDT
TMP,Freshwater,C3,TMP_FW_C3_20230607_1600,4.51,0.19,2023-06-06,2023-06-07T16:02:00Z,EDT
TMP,Freshwater,B4,TMP_FW_B4_20230607_1600,4.75,0.26,2023-06-07,2023-06-08T00:23:00Z,EDT
TMP,Estuarine-water,D5,TMP_SW_D5_20230606,4.14,0.29,2023-06-05,2023-06-07T00:48:00Z,EDT
TMP,Estuarine-water,E3,TMP_SW_E3_20230606,3.77,0.28,2023-06-05,2023-06-06T23:58:00Z,EDT
TMP,Estuarine-water,C3,TMP_SW_C3_20230606,8.3,0.4,2023-06-05,2023-06-06T23:19:00Z,EDT
TMP,Estuarine-water,C3,TMP_SW_C3_20230607_0800,6.15,0.37,2023-06-07,2023-06-08T00:33:00Z,EDT
TMP,Estuarine-water,C3,TMP_SW_C3_20230607_0800,6.15,0.37,2023-06-06,2023-06-07T15:51:00Z,EDT
TMP,Estuarine-water,B4,TMP_SW_B4_20230607_0800,4.18,0.29,2023-06-07,2023-06-08T00:23:00Z,EDT
TMP,Estuarine-water,B4,TMP_SW_B4_20230607_0800,4.18,0.29,2023-06-06,2023-06-07T16:02:00Z,EDT
TMP,Estuarine-water,D5,TMP_SW_D5_20230607_0800,3.87,0.28,2023-06-07,2023-06-08T00:11:00Z,EDT
TMP,Estuarine-water,D5,TMP_SW_D5_20230607_0800,3.87,0.28,2023-06-06,2023-06-07T16:25:00Z,EDT
TMP,Estuarine-water,E3,TMP_SW_E3_20230607_0800,3.82,0.29,2023-06-07,2023-06-08T00:03:00Z,EDT
TMP,Estuarine-water,E3,TMP_SW_E3_20230607_0800,3.82,0.29,2023-06-06,2023-06-07T15:32:00Z,EDT
TMP,Estuarine-water,I5,TMP_SW_I5_20230607_1600,11.37,0.72,2023-06-07,2023-06-07T23:45:00Z,EDT
TMP,Estuarine-water,E3,TMP_SW_E3_20230607_1600,3.79,0.25,2023-06-07,2023-06-08T00:03:00Z,EDT
TMP,Estuarine-water,E3,TMP_SW_E3_20230607_1600,3.79,0.25,2023-06-06,2023-06-07T15:32:00Z,EDT
TMP,Estuarine-water,B4,TMP_SW_B4_20230607_1600,4.27,0.36,2023-06-07,2023-06-08T00:23:00Z,EDT
TMP,Estuarine-water,B4,TMP_SW_B4_20230607_1600,4.27,0.36,2023-06-06,2023-06-07T16:02:00Z,EDT
TMP,Estuarine-water,C3,TMP_SW_C3_20230607_1600,5.71,0.34,2023-06-07,2023-06-08T00:33:00Z,EDT
TMP,Estuarine-water,C3,TMP_SW_C3_20230607_1600,5.71,0.34,2023-06-06,2023-06-07T15:51:00Z,EDT
TMP,Estuarine-water,D5,TMP_SW_D5_20230607_1600,4.04,0.32,2023-06-07,2023-06-08T00:11:00Z,EDT
TMP,Estuarine-water,D5,TMP_SW_D5_20230607_1600,4.04,0.32,2023-06-06,2023-06-07T16:25:00Z,EDT
TMP,Freshwater,C3,TMP_FW_C3_20230608,4.95,0.27,2023-06-07,2023-06-08T23:13:00Z,EDT
TMP,Freshwater,I5,TMP_FW_I5_20230608,6.64,0.49,2023-06-07,2023-06-08T22:28:00Z,EDT
TMP,Freshwater,D5,TMP_FW_D5_20230608,5.88,0.27,2023-06-07,2023-06-08T22:55:00Z,EDT
TMP,Freshwater,F4,TMP_FW_F4_20230608,5.57,0.28,2023-06-07,2023-06-08T23:32:00Z,EDT
TMP,Freshwater,H6,TMP_FW_H6_20230608,8.49,0.4,2023-06-07,2023-06-08T22:43:00Z,EDT
TMP,Freshwater,D5,TMP_FW_D5_20230612,6.77,0.3,2023-06-08,2023-06-12T16:44:00Z,EDT
TMP,Freshwater,I5,TMP_FW_I5_20230612,8.2,0.39,2023-06-08,2023-06-12T17:09:00Z,EDT
TMP,Estuarine-water,D5,TMP_SW_D5_20230608,4.2,0.34,2023-06-07,2023-06-08T21:35:00Z,EDT
TMP,Estuarine-water,H6,TMP_SW_H6_20230608,4.39,0.39,2023-06-07,2023-06-08T20:49:00Z,EDT
TMP,Estuarine-water,B4,TMP_SW_B4_20230608,5.01,0.37,2023-06-07,2023-06-08T21:15:00Z,EDT
TMP,Estuarine-water,C3,TMP_SW_C3_20230608,6.32,0.43,2023-06-07,2023-06-08T21:05:00Z,EDT
TMP,Estuarine-water,E3,TMP_SW_E3_20230608,4.38,0.38,2023-06-07,2023-06-08T20:30:00Z,EDT
TMP,Estuarine-water,H6,TMP_SW_H6_20230612,5.19,0.42,2023-06-08,2023-06-12T18:59:00Z,NA
TMP,Estuarine-water,E3,TMP_SW_E3_20230612,4.12,0.33,2023-06-08,2023-06-12T15:55:00Z,EDT
TMP,Control,H6,TMP_C_H6_20230612,16.2,0.75,2023-06-08,2023-06-12T17:22:00Z,EDT
TMP,Freshwater,I5,TMP_FW_I5_20230614,10.73,0.42,2023-06-12,2023-06-14T22:36:00Z,EDT
TMP,Freshwater,C3,TMP_FW_C3_20230614,6.84,0.31,2023-06-12,2023-06-14T22:02:00Z,EDT
TMP,Freshwater,D5,TMP_FW_D5_20230614,8.14,0.35,2023-06-12,2023-06-14T22:13:00Z,EDT
TMP,Freshwater,I5,TMP_FW_I5_20230617,11.25,0.46,2023-06-14,2023-06-17T19:25:00Z,EDT
TMP,Freshwater,H6,TMP_FW_H6_20230617,10.84,0.52,2023-06-14,2023-06-17T19:34:00Z,EDT
TMP,Estuarine-water,C3,TMP_SW_C3_20230614,7.45,0.64,2023-06-12,2023-06-14T19:01:00Z,EDT
TMP,Estuarine-water,E3,TMP_SW_E3_20230614,5.14,0.3,2023-06-12,2023-06-14T19:57:00Z,EDT
TMP,Estuarine-water,H6,TMP_SW_H6_20230614,5.28,0.3,2023-06-12,2023-06-14T20:18:00Z,EDT
TMP,Estuarine-water,F6,TMP_SW_F6_20230614,4.09,0.34,2023-06-12,2023-06-14T19:42:00Z,EDT
TMP,Estuarine-water,D5,TMP_SW_D5_20230614,7.68,0.44,2023-06-12,2023-06-14T19:28:00Z,EDT
TMP,Estuarine-water,B4,TMP_SW_B4_20230614,7.82,0.48,2023-06-12,2023-06-14T19:14:00Z,EDT
TMP,Estuarine-water,E3,TMP_SW_E3_20230617,5.16,0.33,2023-06-14,2023-06-17T17:57:00Z,EDT
TMP,Estuarine-water,C3,TMP_SW_C3_20230617,9.14,0.91,2023-06-14,2023-06-17T17:48:00Z,EDT
TMP,Estuarine-water,B4,TMP_SW_B4_20230617,5.88,0.41,2023-06-14,2023-06-17T18:33:00Z,EDT
TMP,Estuarine-water,D5,TMP_SW_D5_20230617,4.57,0.35,2023-06-14,2023-06-17T18:22:00Z,EDT
TMP,Control,H6,TMP_C_H6_20230628,19.3,0.67,2023-06-23,2023-06-28T21:54:00Z,EDT
TMP,Control,H3,TMP_C_H3_20230628,20.53,2.1,2023-06-23,2023-06-28T21:33:00Z,EDT
TMP,Control,E3,TMP_C_E3_20230628,10.14,0.38,2023-06-23,2023-06-28T22:48:00Z,EDT
TMP,Control,D5,TMP_C_D5_20230628,9.77,0.32,2023-06-23,2023-06-28T22:12:00Z,EDT
TMP,Control,I5,TMP_C_I5_20230628,17.09,0.48,2023-06-23,2023-06-28T21:40:00Z,EDT
TMP,Control,C3,TMP_C_C3_20230628,11.68,0.36,2023-06-23,2023-06-28T18:59:00Z,NA
TMP,Control,F6,TMP_C_F6_20230628,17.37,0.49,2023-06-23,2023-06-28T22:04:00Z,EDT
TMP,Control,C6,TMP_C_C6_20230628,12.88,0.43,2023-06-23,2023-06-28T22:24:00Z,EDT
TMP,Freshwater,B4,TMP_FW_B4_20230627,11.69,0.55,2023-06-23,2023-06-27T19:02:00Z,EDT
TMP,Freshwater,E3,TMP_FW_E3_20230627,7.34,0.35,2023-06-23,2023-06-27T18:30:00Z,EDT
TMP,Freshwater,F6,TMP_FW_F6_20230627,11.95,0.42,2023-06-23,2023-06-27T18:40:00Z,EDT
TMP,Freshwater,I5,TMP_FW_I5_20230627,13.21,0.5,2023-06-23,2023-06-27T17:54:00Z,EDT
TMP,Freshwater,C3,TMP_FW_C3_20230627,11.49,0.4,2023-06-23,2023-06-27T19:11:00Z,EDT
TMP,Freshwater,H3,TMP_FW_H3_20230627,6.84,0.3,2023-06-23,2023-06-27T18:08:00Z,EDT
TMP,Freshwater,F4,TMP_FW_F4_20230627,12.19,0.42,2023-06-23,2023-06-27T18:17:00Z,EDT
TMP,Freshwater,D5,TMP_FW_D5_20230627,13.08,0.36,2023-06-23,2023-06-27T18:49:00Z,EDT
TMP,Estuarine-water,C6,TMP_SW_C6_20230627,3.78,0.25,2023-06-23,2023-06-27T21:21:00Z,EDT
TMP,Estuarine-water,D5,TMP_SW_D5_20230627,3.52,0.28,2023-06-23,2023-06-27T21:12:00Z,EDT
TMP,Estuarine-water,B4,TMP_SW_B4_20230627,6.73,0.48,2023-06-23,2023-06-27T21:31:00Z,EDT
TMP,Estuarine-water,C3,TMP_SW_C3_20230627,8.13,0.48,2023-06-23,2023-06-27T21:42:00Z,EDT
TMP,Estuarine-water,F4,TMP_SW_F4_20230627,6.51,0.36,2023-06-23,2023-06-27T20:55:00Z,EDT
TMP,Estuarine-water,H6,TMP_SW_H6_20230627,4.82,0.26,2023-06-23,2023-06-27T20:17:00Z,EDT
TMP,Estuarine-water,H3,TMP_SW_H3_20230627,4.37,0.31,2023-06-23,2023-06-27T20:29:00Z,EDT
TMP,Estuarine-water,E3,TMP_SW_E3_20230627,3.6,0.25,2023-06-23,2023-06-27T20:39:00Z,EDT
TMP,Estuarine-water,F6,TMP_SW_F6_20230627,3.83,0.3,2023-06-23,2023-06-27T21:02:00Z,EDT
TMP,Control,H6,TMP_C_H6_20230707,19.94,0.84,2023-07-05,2023-07-07T18:42:00Z,EDT
TMP,Control,I5,TMP_C_I5_20230710,19.03,0.74,2023-07-07,2023-07-10T20:10:00Z,EDT
TMP,Control,H6,TMP_C_H6_20230710,21.17,1.2,2023-07-07,2023-07-10T19:55:00Z,EDT
TMP,Freshwater,C3,TMP_FW_C3_20230710,13.4,0.46,2023-07-07,2023-07-10T18:05:00Z,EDT
TMP,Freshwater,I5,TMP_FW_I5_20230707,15.8,1.19,2023-07-05,2023-07-07T16:20:00Z,EDT
TMP,Freshwater,D5,TMP_FW_D5_20230710,14.07,0.52,2023-07-07,2023-07-10T17:55:00Z,EDT
TMP,Freshwater,F4,TMP_FW_F4_20230710,14.93,0.57,2023-07-07,2023-07-10T17:35:00Z,EDT
TMP,Freshwater,H6,TMP_FW_H6_20230710,14.53,0.68,2023-07-07,2023-07-10T17:25:00Z,EDT
TMP,Estuarine-water,F6,TMP_SW_F6_20230707,4.3,0.35,2023-07-05,2023-07-07T17:50:00Z,EDT
TMP,Estuarine-water,B4,TMP_SW_B4_20230707,7.82,0.74,2023-07-05,2023-07-07T17:20:00Z,EDT
TMP,Estuarine-water,E3,TMP_SW_E3_20230707,4.3,0.31,2023-07-05,2023-07-07T17:38:00Z,EDT
TMP,Estuarine-water,C3,TMP_SW_C3_20230707,9.05,0.59,2023-07-05,2023-07-07T17:31:00Z,EDT
TMP,Control,H6,TMP_C_H6_20230807,16.67,0.68,2023-08-04,2023-08-07T18:49:00Z,EDT
TMP,Control,H3,TMP_C_H3_20230807,17.57,0.6,2023-08-04,2023-08-07T19:00:00Z,EDT
TMP,Control,H6,TMP_C_H6_20230810,17.54,0.65,2023-08-07,2023-08-10T17:08:00Z,EDT
TMP,Control,F4,TMP_C_F4_20230810,19.54,0.72,2023-08-07,2023-08-10T17:27:00Z,EDT
TMP,Control,D5,TMP_C_D5_20230810,10.96,0.43,2023-08-07,2023-08-10T17:49:00Z,EDT
TMP,Control,B4,TMP_C_B4_20230810,14.75,0.51,2023-08-07,2023-08-10T18:01:00Z,EDT
TMP,Control,E3,TMP_C_E3_20230810,11.71,0.45,2023-08-07,2023-08-10T17:36:00Z,EDT
TMP,Control,C6,TMP_C_C6_20230810,15.05,0.51,2023-08-07,2023-08-10T17:53:00Z,EDT
TMP,Control,I5,TMP_C_I5_20230810,20.34,0.6,2023-08-07,2023-08-10T16:57:00Z,EDT
TMP,Control,F6,TMP_C_F6_20230810,22.34,0.67,2023-08-07,2023-08-10T17:17:00Z,EDT
TMP,Freshwater,C3,TMP_FW_C3_20230807,13.2,0.55,2023-08-04,2023-08-07T16:47:00Z,EDT
TMP,Freshwater,E3,TMP_FW_E3_20230807,7.22,0.42,2023-08-04,2023-08-07T16:41:00Z,EDT
TMP,Freshwater,F4,TMP_FW_F4_20230807,12.12,0.52,2023-08-04,2023-08-07T16:04:00Z,EDT
TMP,Freshwater,D5,TMP_FW_D5_20230807,11.97,0.48,2023-08-04,2023-08-07T16:20:00Z,EDT
TMP,Freshwater,C6,TMP_FW_C6_20230807,7.51,0.42,2023-08-04,2023-08-07T16:31:00Z,EDT
TMP,Freshwater,I5,TMP_FW_I5_20230807,14.73,0.64,2023-08-04,2023-08-07T15:45:00Z,EDT
TMP,Freshwater,F6,TMP_FW_F6_20230810,15.04,1.61,2023-08-07,2023-08-10T20:07:00Z,EDT
TMP,Freshwater,B4,TMP_FW_B4_20230810,14,0.55,2023-08-07,2023-08-10T20:34:00Z,EDT
TMP,Freshwater,H3,TMP_FW_H3_20230810,9.2,0.42,2023-08-07,2023-08-10T20:22:00Z,EDT
TMP,Estuarine-water,I5,TMP_SW_I5_20230807,18.75,1.55,2023-08-04,2023-08-07T18:59:00Z,NA
TMP,Estuarine-water,D5,TMP_SW_D5_20230807,19.92,0.66,2023-08-04,2023-08-07T17:44:00Z,EDT
TMP,Estuarine-water,B4,TMP_SW_B4_20230807,16.93,0.7,2023-08-04,2023-08-07T17:58:00Z,EDT
TMP,Estuarine-water,F6,TMP_SW_F6_20230807,9.42,0.43,2023-08-04,2023-08-07T17:37:00Z,EDT
TMP,Estuarine-water,C6,TMP_SW_C6_20230807,19.99,0.88,2023-08-04,2023-08-07T17:53:00Z,EDT
TMP,Estuarine-water,C3,TMP_SW_C3_20230807,9.68,0.58,2023-08-04,2023-08-07T18:04:00Z,EDT
TMP,Estuarine-water,E3,TMP_SW_E3_20230807,8.31,0.41,2023-08-04,2023-08-07T17:25:00Z,EDT
TMP,Estuarine-water,F4,TMP_SW_F4_20230810,37.24,1.23,2023-08-07,2023-08-10T18:53:00Z,EDT
TMP,Estuarine-water,I5,TMP_SW_I5_20230810,48.78,1.45,2023-08-07,2023-08-10T19:14:00Z,EDT
TMP,Estuarine-water,H6,TMP_SW_H6_20230810,49.79,1.55,2023-08-07,2023-08-10T19:26:00Z,EDT
TMP,Estuarine-water,C6,TMP_SW_C6_20230810,46.25,1.63,2023-08-07,2023-08-10T18:31:00Z,EDT
TMP,Estuarine-water,H3,TMP_SW_H3_20230810,40.67,1.35,2023-08-07,2023-08-10T19:03:00Z,EDT
TMP,Estuarine-water,E3,TMP_SW_E3_20230810,29.26,1,2023-08-07,2023-08-10T18:42:00Z,EDT
TMP,Control,I5,TMP_C_I5_20231005,13.19,0.43,NA,2023-10-05T18:59:00Z,NA
TMP,Freshwater,I5,TMP_FW_I5_20231005,25.54,2.69,2023-10-02,2023-10-05T17:37:00Z,EDT
TMP,Freshwater,H3,TMP_FW_H3_20231002,9.29,0.48,2023-09-29,2023-10-02T16:51:00Z,EDT
TMP,Estuarine-water,D5,TMP_SW_D5_20231002,23.07,0.75,2023-09-29,2023-10-02T18:23:00Z,EDT
TMP,Estuarine-water,F6,TMP_SW_F6_20231002,30.33,1.11,2023-09-29,2023-10-02T18:16:00Z,EDT
TMP,Estuarine-water,H3,TMP_SW_H3_20231002,53.81,1.86,2023-09-29,2023-10-02T17:55:00Z,EDT
TMP,Estuarine-water,C3,TMP_SW_C3_20231002,12.36,0.7,2023-09-29,2023-10-02T18:38:00Z,EDT
TMP,Estuarine-water,F6,TMP_SW_F6_20231116,20.01,0.93,2023-11-13,2023-11-16T19:48:00Z,EST
TMP,Control,B4,TMP_C_B4_20231211,23.49,0.92,2023-12-08,2023-12-11T18:43:00Z,EST
TMP,Control,H6,TMP_C_H6_20231211,11.97,0.4,2023-12-08,2023-12-11T18:23:00Z,EST
TMP,Control,H3,TMP_C_H3_20231211,20.84,0.77,2023-12-08,2023-12-11T18:06:00Z,EST
TMP,Control,I5,TMP_C_I5_20231208,17.68,0.51,2023-12-05,2023-12-08T17:49:00Z,EST
TMP,Freshwater,F6,TMP_FW_F6_20231208,14.66,0.45,2023-12-05,2023-12-08T20:08:00Z,EST
TMP,Freshwater,D5,TMP_FW_D5_20231208,11.31,0.35,2023-12-05,2023-12-08T19:26:00Z,EST
TMP,Freshwater,H3,TMP_FW_H3_20231208,8.48,0.29,2023-12-05,2023-12-08T19:48:00Z,EST
TMP,Freshwater,F4,TMP_FW_F4_20231211,15.21,0.44,2023-12-08,2023-12-11T21:18:00Z,EST
TMP,Freshwater,I5,TMP_FW_I5_20231208,16.98,0.57,2023-12-05,2023-12-08T19:56:00Z,EST
TMP,Estuarine-water,B4,TMP_SW_B4_20231208,86.41,1.97,2023-12-05,2023-12-08T18:31:00Z,EST
TMP,Estuarine-water,H3,TMP_SW_H3_20231208,26.05,0.79,2023-12-05,2023-12-08T20:13:00Z,EST
TMP,Estuarine-water,F6,TMP_SW_F6_20231208,38.61,1.23,2023-12-05,2023-12-08T18:49:00Z,EST
TMP,Estuarine-water,F6,TMP_SW_F6_20231211,34.86,1.09,2023-12-08,2023-12-11T20:02:00Z,EST
TMP,Estuarine-water,B4,TMP_SW_B4_20231211,51.56,1.22,2023-12-08,2023-12-11T19:49:00Z,EST
TMP,Estuarine-water,C6,TMP_SW_C6_20231211,12.3,0.56,2023-12-08,2023-12-11T19:59:00Z,NA
TMP,Estuarine-water,C3,TMP_SW_C3_20231211,34.13,2.19,2023-12-08,2023-12-11T19:45:00Z,EST
TMP,Estuarine-water,D5,TMP_SW_D5_20231211,32.69,0.98,2023-12-08,2023-12-11T19:58:00Z,EST
TMP,Freshwater,B4,TMP_FW_B4_T2,16.87,1.63,NA,2022-06-22T23:14:00Z,NA
TMP,Freshwater,F6,TMP_FW_F6_T3,NA,NA,NA,2022-06-23T16:38:00Z,NA
TMP,Freshwater,I5,TMP_FW_I5_T3,13.92,0.58,NA,2022-06-23T16:38:00Z,NA
TMP,Freshwater,D5,TMP_FW_D5_T3,6.94,0.29,NA,2022-06-23T16:38:00Z,NA
TMP,Estuarine-water,H6,TMP_SW_H6_T2,15.52,1.65,NA,2022-06-22T23:14:00Z,NA
TMP,Freshwater,D5,TMP_FW_D5_T2,5.9,0.28,NA,2022-06-22T23:14:00Z,NA
TMP,Freshwater,E3,TMP_FW_E3_T1,6.03,0.3,NA,2022-06-22T19:45:00Z,NA
TMP,Estuarine-water,F6,TMP_SW_F6_T1,10.4,0.57,NA,2022-06-22T19:47:00Z,NA
TMP,Estuarine-water,C6,TMP_SW_C6_T3,7.42,0.78,NA,2022-06-23T16:41:00Z,NA
TMP,Freshwater,H6,TMP_FW_H6_T1,NA,NA,NA,2022-06-22T19:45:00Z,NA
TMP,Freshwater,B4,TMP_FW_B4_T1,NA,NA,NA,2022-06-22T19:45:00Z,NA
TMP,Freshwater,F6,TMP_FW_F6_T1,NA,NA,NA,2022-06-22T19:45:00Z,NA
TMP,Freshwater,C6,TMP_FW_C6_T2,NA,NA,NA,2022-06-22T23:14:00Z,NA
TMP,Control,H6,TMP_C_H6_T2,19.16,0.59,NA,2022-06-22T23:34:00Z,NA
TMP,Estuarine-water,H3,TMP_SW_H3_20220721,86.27,2.94,2022-07-18,2022-07-21T19:28:00Z,EDT
TMP,Control,B4,TMP_C_B4_20220518,18.19,NA,NA,2022-05-18T18:59:00Z,NA
TMP,Control,C6,TMP_C_C6_20220518,9.235,0.365,NA,2022-05-18T18:59:00Z,NA
TMP,Control,E3,TMP_C_E3_20220518,9.879999999999999,0.5349999999999999,NA,2022-05-18T18:59:00Z,NA
TMP,Control,F6,TMP_C_F6_20220518,7.459999999999999,0.335,NA,2022-05-18T18:59:00Z,NA
TMP,Control,H3,TMP_C_H3_20220518,NA,NA,NA,2022-05-18T18:59:00Z,NA
TMP,Control,I5,TMP_C_I5_20220518,9.385,NA,NA,2022-05-18T18:59:00Z,NA
