year,month,mean_monthly_precip_cm,stamp
2016,11,0.10233333333333332,2016-11-01
2016,12,0.22225806451612906,2016-12-01
2017,1,0.20967741935483872,2017-01-01
2017,2,0.08857142857142856,2017-02-01
2017,3,0.3316129032258065,2017-03-01
2017,4,0.23033333333333336,2017-04-01
2017,5,0.4435483870967742,2017-05-01
2017,6,0.10933333333333334,2017-06-01
2017,7,0.6141935483870967,2017-07-01
2017,8,0.4903225806451613,2017-08-01
2017,9,0.1426666666666667,2017-09-01
2017,10,0.24548387096774194,2017-10-01
2017,11,0.19766666666666668,2017-11-01
2017,12,0.06741935483870969,2017-12-01
2018,1,0.1480645161290323,2018-01-01
2018,2,0.6239285714285715,2018-02-01
2018,3,0.24870967741935485,2018-03-01
2018,4,0.2556666666666667,2018-04-01
2018,5,0.6867741935483871,2018-05-01
2018,6,0.31366666666666665,2018-06-01
2018,7,0.8612903225806453,2018-07-01
2018,8,0.45612903225806456,2018-08-01
2018,9,0.5663333333333334,2018-09-01
2018,10,0.3322580645161291,2018-10-01
2018,11,0.6713333333333333,2018-11-01
2018,12,0.5396774193548387,2018-12-01
2019,1,0.24483870967741936,2019-01-01
2019,2,0.3360714285714286,2019-02-01
2019,3,0.3319354838709677,2019-03-01
2019,4,0.17333333333333334,2019-04-01
2019,5,0.5358064516129032,2019-05-01
2019,6,0.336,2019-06-01
2019,7,0.4264516129032258,2019-07-01
2019,8,0.20806451612903226,2019-08-01
2019,9,0.03166666666666667,2019-09-01
2019,10,0.49838709677419357,2019-10-01
2019,11,0.11333333333333337,2019-11-01
2019,12,0.30516129032258066,2019-12-01
2020,1,0.2574193548387097,2020-01-01
2020,2,0.2789655172413793,2020-02-01
2020,3,0.29516129032258065,2020-03-01
2020,4,0.5213333333333334,2020-04-01
2020,5,0.22451612903225804,2020-05-01
2020,6,0.333,2020-06-01
2020,7,0.38645161290322577,2020-07-01
2020,8,1.0109677419354839,2020-08-01
2020,9,0.6466666666666667,2020-09-01
2020,10,0.49193548387096775,2020-10-01
2020,11,0.411,2020-11-01
2020,12,0.4506451612903226,2020-12-01
2021,1,0.1306451612903226,2021-01-01
2021,2,0.4353571428571429,2021-02-01
2021,3,0.27903225806451604,2021-03-01
2021,4,0.30100000000000005,2021-04-01
2021,5,0.21999999999999997,2021-05-01
2021,6,0.2936666666666667,2021-06-01
2021,7,0.3480645161290323,2021-07-01
2021,8,0.49548387096774194,2021-08-01
2021,9,0.48333333333333334,2021-09-01
2021,10,0.28774193548387095,2021-10-01
2021,11,0.06533333333333333,2021-11-01
2021,12,0.06258064516129032,2021-12-01
2022,1,0.3232258064516129,2022-01-01
2022,2,0.1967857142857143,2022-02-01
2022,3,0.25032258064516133,2022-03-01
2022,4,0.3973333333333334,2022-04-01
2022,5,0.37548387096774194,2022-05-01
2022,6,0.33333333333333337,2022-06-01
2022,7,0.6835483870967742,2022-07-01
2022,8,0.2864516129032258,2022-08-01
2022,9,0.164,2022-09-01
2022,10,0.43580645161290327,2022-10-01
2022,11,0.22633333333333336,2022-11-01
2022,12,0.3887096774193549,2022-12-01
2023,1,0.12161290322580648,2023-01-01
2023,2,0.1517857142857143,2023-02-01
2023,3,0.13193548387096773,2023-03-01
2023,4,0.34366666666666673,2023-04-01
2023,5,0.18903225806451618,2023-05-01
2023,6,0.2203333333333333,2023-06-01
2023,7,0.4509677419354839,2023-07-01
2023,8,0.2964516129032258,2023-08-01
2023,9,0.48933333333333334,2023-09-01
2023,10,0.1232258064516129,2023-10-01
2023,11,0.23766666666666666,2023-11-01
2023,12,0.6735483870967741,2023-12-01
2024,1,0.5000000000000001,2024-01-01
2024,2,0.1472413793103448,2024-02-01
2024,3,0.48870967741935484,2024-03-01
2024,4,0.20799999999999996,2024-04-01
2024,5,0.2861290322580645,2024-05-01
2024,6,0.19133333333333336,2024-06-01
2024,7,0.36451612903225805,2024-07-01
2024,8,0.5106451612903226,2024-08-01
2024,9,0.21999999999999997,2024-09-01
2024,10,0.00645161290322581,2024-10-01
2024,11,0.16733333333333336,2024-11-01
2024,12,0.26064516129032256,2024-12-01
2025,1,0.2145161290322581,2025-01-01
2025,2,0.2717857142857143,2025-02-01
2025,3,0.2770967741935484,2025-03-01
2025,4,0.2790000000000001,2025-04-01
2025,5,0.6932258064516129,2025-05-01
2025,6,0.32400000000000007,2025-06-01
2025,7,0.7890322580645162,2025-07-01
2025,8,0.08548387096774196,2025-08-01
2025,9,0.326,2025-09-01
2025,10,0.2187096774193549,2025-10-01
2025,11,0.10500000000000002,2025-11-01
2025,12,0.1770967741935484,2025-12-01
2026,1,0,2026-01-01
